,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
1231,Germany,Data Analyst,"7,500-9,999",Python,Jupyter Notebook,"Seaborn , Other",Build and/or run a machine learning service that operationally improves my product or workflows,Man,unknown,middle
1235,India,Data Analyst,"5,000-7,499","Python, SQL"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
1249,China,Data Analyst,"1,000-1,999","Python, C, MATLAB",MATLAB , None,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1259,Pakistan,Data Analyst,0-999,Python,Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1270,Other,Data Analyst,"2,000-2,999","Python, R, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++","Plotly / Plotly Express ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1287,Germany,Data Analyst,unknown,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Notepad++,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,unknown,middle
1304,Germany,Data Analyst,"60,000-69,999", R,"RStudio , Spyder, Notepad++,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
1312,Nigeria,Data Analyst,"1,000-1,999","Python, SQL",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Man,unknown,younger
1313,India,Data Analyst,0-999,"Python, SQL","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1323,United States of America,Data Analyst,"100,000-124,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models",Prefer not to say,"Local development environments (RStudio, JupyterLab, etc.)",older
1368,India,Data Analyst,unknown,Python,Jupyter Notebook," Matplotlib ,Seaborn ",unknown,Woman,unknown,younger
1382,India,Data Analyst,0-999,"Python, R, SQL, C, C++, Java, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
1385,Spain,Data Analyst,"60,000-69,999","Python, SQL, Bash"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1415,Brazil,Data Analyst,"10,000-14,999","Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ",Plotly / Plotly Express ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
1421,Ukraine,Data Analyst,unknown,"Python, Javascript", Other, Matplotlib ,unknown,Man,unknown,middle
1446,India,Data Analyst,unknown,Python,"PyCharm ,Jupyter Notebook", None,unknown,Man,unknown,younger
1472,India,Data Analyst,"10,000-14,999","Python, SQL","Visual Studio ,Visual Studio Code (VSCode) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
1475,South Korea,Data Analyst,"3,000-3,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm "," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Build prototypes to explore applying machine learning to new areas,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1479,Singapore,Data Analyst,"30,000-39,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1482,Pakistan,Data Analyst,0-999, R,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Advanced statistical software (SPSS, SAS, etc.)",younger
1500,Egypt,Data Analyst,unknown,"Python, SQL, C++, Java, MATLAB","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook", Matplotlib ,unknown,Man,unknown,younger
1523,China,Data Analyst,"1,000-1,999","Python, C++, MATLAB"," Spyder,Jupyter Notebook", Matplotlib ,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1525,Nigeria,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
1540,India,Data Analyst,0-999,"Python, SQL, C, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++, Sublime Text,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Woman,unknown,younger
1542,Germany,Data Analyst,"60,000-69,999", None, None, Other,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
1562,Nigeria,Data Analyst,0-999,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
1574,South Africa,Data Analyst,"15,000-19,999","Python, Other",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1591,Netherlands,Data Analyst,"80,000-89,999", R,RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
1593,Brazil,Data Analyst,"5,000-7,499","Python, SQL, Bash, Other","PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
1603,India,Data Analyst,0-999,"Python, SQL"," Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
1610,United States of America,Data Analyst,"90,000-99,999","Python, SQL, Other"," Spyder, Vim / Emacs", None,Analyze and understand data to influence product or business decisions,Woman,"Advanced statistical software (SPSS, SAS, etc.)",middle
1642,United States of America,Data Analyst,"100,000-124,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,unknown,younger
1651,Egypt,Data Analyst,0-999,"Python, R, SQL, Javascript","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
1653,Japan,Data Analyst,"100,000-124,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1657,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"40,000-49,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
1669,India,Data Analyst,"2,000-2,999","Python, R, SQL", Other, Matplotlib ,Analyze and understand data to influence product or business decisions,Nonbinary,unknown,middle
1678,India,Data Analyst,"10,000-14,999","Python, C, Java",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
1680,India,Data Analyst,"50,000-59,999","Python, SQL, C, C++",Jupyter Notebook," Matplotlib ,Plotly / Plotly Express , Other",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
1681,India,Data Analyst,"4,000-4,999","Python, R","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1686,Colombia,Data Analyst,"1,000-1,999","Python, R, SQL",Visual Studio ," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
